ano,campeao,partidas_campeao,vitorias_campeao,empates_campeao,derrotas_campeao,gols_pro_campeao,gols_contra_campeao,saldo_campeao,pontos_campeao,numero_times,total_gols,media_gols,aproveitamento,cidade,estadio,campeao_ano_anterior,ano_copa_do_mundo,ano_eurocopa,espanha_times_final_champions
2000,Dep. La Coruña,38,21,6,11,66,44,22,69,20,999,2.6289473684210525,60.526315789473685,Coruña,FALSE,FALSE,FALSE,TRUE,2
2001,Real Madrid,38,24,8,6,81,40,41,80,20,1095,2.8815789473684212,70.17543859649123,Madrid,TRUE,FALSE,FALSE,FALSE,1
2002,Valencia,38,21,12,5,51,27,24,75,20,961,2.528947368421053,65.78947368421052,Valencia,TRUE,FALSE,TRUE,FALSE,1
2003,Real Madrid,38,22,12,4,86,42,44,78,20,1016,2.6736842105263157,68.42105263157895,Madrid,TRUE,FALSE,FALSE,FALSE,0
2004,Valencia,38,23,8,7,71,27,44,77,20,1015,2.6710526315789473,67.54385964912281,Valencia,TRUE,FALSE,FALSE,TRUE,0
2005,Barcelona,38,25,9,4,73,29,44,84,20,980,2.5789473684210527,73.6842105263158,Barcelona,TRUE,FALSE,FALSE,FALSE,0
2006,Barcelona,38,25,7,6,80,35,45,82,20,936,2.463157894736842,71.9298245614035,Barcelona,TRUE,TRUE,TRUE,FALSE,1
2007,Real Madrid,38,23,7,8,66,40,26,76,20,942,2.4789473684210526,66.66666666666667,Madrid,TRUE,FALSE,FALSE,FALSE,0
2008,Real Madrid,38,27,4,7,84,36,48,85,20,1020,2.6842105263157894,74.56140350877193,Madrid,TRUE,TRUE,FALSE,TRUE,0
2009,Barcelona,38,27,6,5,105,35,70,87,20,1101,2.8973684210526316,76.3157894736842,Barcelona,TRUE,FALSE,FALSE,FALSE,1
2010,Barcelona,38,31,6,1,98,24,74,99,20,1031,2.713157894736842,86.84210526315789,Barcelona,TRUE,TRUE,TRUE,FALSE,0
2011,Barcelona,38,30,6,2,95,21,74,96,20,1042,2.7421052631578946,84.21052631578948,Barcelona,TRUE,TRUE,FALSE,FALSE,1
2012,Real Madrid,38,32,4,2,121,32,89,100,20,1050,2.763157894736842,87.71929824561404,Madrid,TRUE,FALSE,FALSE,TRUE,0
2013,Barcelona,38,32,4,2,115,40,75,100,20,1091,2.8710526315789475,87.71929824561404,Barcelona,TRUE,FALSE,FALSE,FALSE,0
2014,Atlético Madrid,38,28,6,4,77,26,51,90,20,1045,2.75,78.94736842105263,Madrid,TRUE,FALSE,TRUE,FALSE,2
2015,Barcelona,38,30,4,4,110,21,89,94,20,1009,2.655263157894737,82.45614035087719,Barcelona,TRUE,FALSE,FALSE,FALSE,1
2016,Barcelona,38,29,4,5,112,29,83,91,20,1043,2.7447368421052634,79.82456140350877,Barcelona,TRUE,TRUE,FALSE,TRUE,2
2017,Real Madrid,38,29,6,3,106,41,65,93,20,1118,2.942105263157895,81.57894736842105,Madrid,TRUE,FALSE,FALSE,FALSE,1
2018,Barcelona,38,28,9,1,99,29,70,93,20,1024,2.694736842105263,81.57894736842105,Barcelona,TRUE,FALSE,TRUE,FALSE,1
2019,Barcelona,38,26,9,3,90,36,54,87,20,983,2.586842105263158,76.3157894736842,Barcelona,TRUE,TRUE,FALSE,FALSE,0
2020,Real Madrid,38,26,9,3,70,25,45,87,20,942,2.4789473684210526,76.3157894736842,Madrid,TRUE,FALSE,FALSE,TRUE,0
2021,Atlético Madrid,38,26,8,4,67,25,42,86,20,953,2.5078947368421054,75.43859649122807,Madrid,TRUE,FALSE,FALSE,FALSE,0
2022,Real Madrid,38,26,8,4,80,31,49,86,20,951,2.5026315789473683,75.43859649122807,Madrid,TRUE,FALSE,TRUE,FALSE,1
