ano,campeao,partidas_campeao,vitorias_campeao,empates_campeao,derrotas_campeao,gols_pro_campeao,gols_contra_campeao,saldo_campeao,pontos_campeao,numero_times,total_gols,media_gols,aproveitamento,cidade,estadio,campeao_ano_anterior,ano_copa_do_mundo,ano_eurocopa
2000,Monaco,34,20,5,9,69,38,31,65,18,787,2.5718954248366015,63.72549019607843,Monaco,FALSE,FALSE,FALSE,TRUE
2001,FC Nantes,34,21,5,8,58,36,22,68,18,765,2.5,66.66666666666667,Nantes,FALSE,FALSE,FALSE,FALSE
2002,Olympique Lyon,34,20,6,8,62,32,30,66,18,716,2.3398692810457518,64.70588235294117,Lyon,TRUE,FALSE,TRUE,FALSE
2003,Olympique Lyon,38,19,11,8,63,41,22,68,20,837,2.2026315789473685,59.64912280701754,Lyon,TRUE,TRUE,FALSE,FALSE
2004,Olympique Lyon,38,24,7,7,64,26,38,79,20,884,2.3263157894736843,69.29824561403508,Lyon,TRUE,TRUE,FALSE,TRUE
2005,Olympique Lyon,38,22,13,3,56,22,34,79,20,826,2.1736842105263157,69.29824561403508,Lyon,TRUE,TRUE,FALSE,FALSE
2006,Olympique Lyon,38,25,9,4,73,31,42,84,20,811,2.1342105263157896,73.6842105263158,Lyon,TRUE,TRUE,TRUE,FALSE
2007,Olympique Lyon,38,24,9,5,64,27,37,81,20,858,2.2578947368421054,71.05263157894737,Lyon,TRUE,TRUE,FALSE,FALSE
2008,Olympique Lyon,38,24,7,7,74,37,37,79,20,868,2.2842105263157895,69.29824561403508,Lyon,TRUE,TRUE,FALSE,TRUE
2009,G. Bordeaux,38,24,8,6,64,34,30,80,20,858,2.2578947368421054,70.17543859649123,Bordeaux,FALSE,FALSE,FALSE,FALSE
2010,Marseille,38,23,9,6,69,36,33,78,20,916,2.4105263157894736,68.42105263157895,Marseille,FALSE,FALSE,TRUE,FALSE
2011,LOSC Lille,38,21,13,4,68,36,32,76,20,890,2.3421052631578947,66.66666666666667,Lille,FALSE,FALSE,FALSE,FALSE
2012,Montpellier,38,25,7,6,68,34,34,82,20,956,2.5157894736842104,71.9298245614035,Montpellier,FALSE,FALSE,FALSE,TRUE
2013,Paris SG,38,25,8,5,69,23,46,83,20,967,2.544736842105263,72.80701754385964,Paris,FALSE,FALSE,FALSE,FALSE
2014,Paris SG,38,27,8,3,84,23,61,89,20,931,2.45,78.0701754385965,Paris,FALSE,TRUE,TRUE,FALSE
2015,Paris SG,38,24,11,3,83,36,47,83,20,947,2.4921052631578946,72.80701754385964,Paris,FALSE,TRUE,FALSE,FALSE
2016,Paris SG,38,30,6,2,102,19,83,96,20,960,2.526315789473684,84.21052631578948,Paris,FALSE,TRUE,FALSE,TRUE
2017,Monaco,38,30,5,3,107,31,76,95,20,991,2.607894736842105,83.33333333333333,Monaco,FALSE,FALSE,FALSE,FALSE
2018,Paris SG,38,29,6,3,108,29,79,93,20,1033,2.718421052631579,81.57894736842105,Paris,FALSE,FALSE,TRUE,FALSE
2019,Paris SG,38,29,4,5,105,35,70,91,20,972,2.5578947368421052,79.82456140350877,Paris,FALSE,TRUE,FALSE,FALSE
2020,Paris SG,27,22,2,3,75,24,51,68,20,704,2.6074074074074076,83.95061728395062,Paris,FALSE,TRUE,FALSE,TRUE
2021,LOSC Lille,38,24,11,3,64,23,41,83,20,1049,2.7605263157894737,72.80701754385964,Lille,FALSE,FALSE,FALSE,FALSE
2022,Paris SG,38,26,8,4,90,36,54,86,20,1067,2.8078947368421052,75.43859649122807,Paris,FALSE,FALSE,TRUE,FALSE
